id,ab,hits,singles,doubles,triples,homeruns,average,stolenbases,caughtstealing,runs,rbi,walks,errors,hbp,strikeouts,batterID,bgameID,dkpoints
1316,4,2,2,0,0,0,0.5000,0,0,0,1,0,0,0,1,3432,35,8.000
2089,4,2,2,0,0,0,0.5000,0,0,1,1,0,0,0,0,3432,41,10.000
2473,5,2,2,0,0,0,0.4620,0,0,0,0,0,0,0,1,3432,42,6.000
2594,4,2,0,1,0,1,0.4710,0,0,2,2,1,0,0,1,3432,45,25.000
3153,4,3,1,2,0,0,0.5240,0,0,2,0,0,1,0,1,3432,46,17.000
3588,4,1,1,0,0,0,0.4800,0,0,0,0,0,0,0,0,3432,47,3.000
4290,6,1,1,0,0,0,0.4060,0,0,0,0,0,1,0,0,3432,49,3.000
4512,5,4,1,2,0,1,0.4720,0,0,2,5,0,0,0,0,3432,50,37.000
5174,4,1,1,0,0,0,0.4500,0,0,0,0,0,0,0,0,3432,51,3.000
5876,5,2,1,1,0,0,0.4440,0,0,0,1,0,0,0,0,3432,55,10.000
6277,4,1,0,1,0,0,0.3960,0,0,0,0,0,0,0,0,3432,57,5.000
